"Notes"	"State"	"State Code"	"Year"	"Year Code"	"Sex"	"Sex Code"	"Age Group"	"Age Group Code"	Deaths	Population	Crude Rate
	"Connecticut"	"09"	"2005"	"2005"	"Male"	"M"	"20-24 years"	"20-24"	0	109140	0.00
	"Connecticut"	"09"	"2005"	"2005"	"Male"	"M"	"30-34 years"	"30-34"	0	106294	0.00
"Total"	"Connecticut"	"09"	"2005"	"2005"	"Male"	"M"			81	1704888	4.75
"Total"	"Connecticut"	"09"	"2005"	"2005"					166	3506956	4.73
	"Connecticut"	"09"	"2006"	"2006"	"Female"	"F"	"< 1 year"	"1"	0	19400	0.00
	"Connecticut"	"09"	"2006"	"2006"	"Female"	"F"	"1-4 years"	"1-4"	0	82447	0.00
	"Connecticut"	"09"	"2006"	"2006"	"Female"	"F"	"10-14 years"	"10-14"	0	121407	0.00
	"Connecticut"	"09"	"2006"	"2006"	"Female"	"F"	"25-29 years"	"25-29"	0	97813	0.00
"Total"	"Connecticut"	"09"	"2006"	"2006"	"Female"	"F"			81	1807675	4.48
	"Connecticut"	"09"	"2006"	"2006"	"Male"	"M"	"< 1 year"	"1"	0	20708	0.00
	"Connecticut"	"09"	"2006"	"2006"	"Male"	"M"	"15-19 years"	"15-19"	0	129561	0.00
	"Connecticut"	"09"	"2006"	"2006"	"Male"	"M"	"20-24 years"	"20-24"	0	110893	0.00
"Total"	"Connecticut"	"09"	"2006"	"2006"	"Male"	"M"			73	1709785	4.27
"Total"	"Connecticut"	"09"	"2006"	"2006"					154	3517460	4.38
	"Connecticut"	"09"	"2007"	"2007"	"Female"	"F"	"< 1 year"	"1"	0	19787	0.00
	"Connecticut"	"09"	"2007"	"2007"	"Female"	"F"	"1-4 years"	"1-4"	0	81493	0.00
	"Connecticut"	"09"	"2007"	"2007"	"Female"	"F"	"5-9 years"	"5-9"	0	108811	0.00
	"Connecticut"	"09"	"2007"	"2007"	"Female"	"F"	"10-14 years"	"10-14"	0	120234	0.00
	"Connecticut"	"09"	"2007"	"2007"	"Female"	"F"	"15-19 years"	"15-19"	0	123092	0.00
	"Connecticut"	"09"	"2007"	"2007"	"Female"	"F"	"20-24 years"	"20-24"	0	105977	0.00
	"Connecticut"	"09"	"2007"	"2007"	"Female"	"F"	"35-39 years"	"35-39"	0	126823	0.00
"Total"	"Connecticut"	"09"	"2007"	"2007"	"Female"	"F"			63	1811617	3.48
	"Connecticut"	"09"	"2007"	"2007"	"Male"	"M"	"1-4 years"	"1-4"	0	85254	0.00
	"Connecticut"	"09"	"2007"	"2007"	"Male"	"M"	"5-9 years"	"5-9"	0	114845	0.00
	"Connecticut"	"09"	"2007"	"2007"	"Male"	"M"	"15-19 years"	"15-19"	0	130472	0.00
	"Connecticut"	"09"	"2007"	"2007"	"Male"	"M"	"25-29 years"	"25-29"	0	99831	0.00
	"Connecticut"	"09"	"2007"	"2007"	"Male"	"M"	"85+ years"	"85+"	0	24368	0.00
"Total"	"Connecticut"	"09"	"2007"	"2007"	"Male"	"M"			91	1715653	5.30
"Total"	"Connecticut"	"09"	"2007"	"2007"					154	3527270	4.37
	"Connecticut"	"09"	"2008"	"2008"	"Female"	"F"	"< 1 year"	"1"	0	19197	0.00
	"Connecticut"	"09"	"2008"	"2008"	"Female"	"F"	"15-19 years"	"15-19"	0	123448	0.00
	"Connecticut"	"09"	"2008"	"2008"	"Female"	"F"	"20-24 years"	"20-24"	0	106735	0.00
"Total"	"Connecticut"	"09"	"2008"	"2008"	"Female"	"F"			62	1820749	3.41
	"Connecticut"	"09"	"2008"	"2008"	"Male"	"M"	"< 1 year"	"1"	0	20302	0.00
	"Connecticut"	"09"	"2008"	"2008"	"Male"	"M"	"1-4 years"	"1-4"	0	84794	0.00
	"Connecticut"	"09"	"2008"	"2008"	"Male"	"M"	"10-14 years"	"10-14"	0	124242	0.00
	"Connecticut"	"09"	"2008"	"2008"	"Male"	"M"	"15-19 years"	"15-19"	0	131117	0.00
	"Connecticut"	"09"	"2008"	"2008"	"Male"	"M"	"25-29 years"	"25-29"	0	103358	0.00
"Total"	"Connecticut"	"09"	"2008"	"2008"	"Male"	"M"			91	1724830	5.28
"Total"	"Connecticut"	"09"	"2008"	"2008"					153	3545579	4.32
	"Connecticut"	"09"	"2009"	"2009"	"Female"	"F"	"< 1 year"	"1"	0	18774	0.00
	"Connecticut"	"09"	"2009"	"2009"	"Female"	"F"	"1-4 years"	"1-4"	0	80626	0.00
	"Connecticut"	"09"	"2009"	"2009"	"Female"	"F"	"10-14 years"	"10-14"	0	118060	0.00
	"Connecticut"	"09"	"2009"	"2009"	"Female"	"F"	"15-19 years"	"15-19"	0	123044	0.00
	"Connecticut"	"09"	"2009"	"2009"	"Female"	"F"	"20-24 years"	"20-24"	0	109419	0.00
"Total"	"Connecticut"	"09"	"2009"	"2009"	"Female"	"F"			82	1828779	4.48
	"Connecticut"	"09"	"2009"	"2009"	"Male"	"M"	"< 1 year"	"1"	0	19633	0.00
	"Connecticut"	"09"	"2009"	"2009"	"Male"	"M"	"10-14 years"	"10-14"	0	123609	0.00
	"Connecticut"	"09"	"2009"	"2009"	"Male"	"M"	"15-19 years"	"15-19"	0	130644	0.00
	"Connecticut"	"09"	"2009"	"2009"	"Male"	"M"	"40-44 years"	"40-44"	0	129570	0.00
"Total"	"Connecticut"	"09"	"2009"	"2009"	"Male"	"M"			100	1733028	5.77
"Total"	"Connecticut"	"09"	"2009"	"2009"					182	3561807	5.11
	"Connecticut"	"09"	"2010"	"2010"	"Female"	"F"	"< 1 year"	"1"	0	18561	0.00
	"Connecticut"	"09"	"2010"	"2010"	"Female"	"F"	"1-4 years"	"1-4"	0	79718	0.00
	"Connecticut"	"09"	"2010"	"2010"	"Female"	"F"	"5-9 years"	"5-9"	0	108471	0.00
	"Connecticut"	"09"	"2010"	"2010"	"Female"	"F"	"30-34 years"	"30-34"	0	104508	0.00
"Total"	"Connecticut"	"09"	"2010"	"2010"	"Female"	"F"			90	1837204	4.90
	"Connecticut"	"09"	"2010"	"2010"	"Male"	"M"	"< 1 year"	"1"	0	19528	0.00
	"Connecticut"	"09"	"2010"	"2010"	"Male"	"M"	"5-9 years"	"5-9"	0	113458	0.00
	"Connecticut"	"09"	"2010"	"2010"	"Male"	"M"	"10-14 years"	"10-14"	0	122783	0.00
	"Connecticut"	"09"	"2010"	"2010"	"Male"	"M"	"30-34 years"	"30-34"	0	102495	0.00
	"Connecticut"	"09"	"2010"	"2010"	"Male"	"M"	"55-59 years"	"55-59"	17	117845	14.43
	"Connecticut"	"09"	"2010"	"2010"	"Male"	"M"	"70-74 years"	"70-74"	16	47621	33.60
"Total"	"Connecticut"	"09"	"2010"	"2010"	"Male"	"M"			109	1743193	6.25
"Total"	"Connecticut"	"09"	"2010"	"2010"					199	3580397	5.56
	"Connecticut"	"09"	"2011"	"2011"	"Female"	"F"	"< 1 year"	"1"	0	18430	0.00
	"Connecticut"	"09"	"2011"	"2011"	"Female"	"F"	"1-4 years"	"1-4"	0	78449	0.00
	"Connecticut"	"09"	"2011"	"2011"	"Female"	"F"	"15-19 years"	"15-19"	0	126169	0.00
	"Connecticut"	"09"	"2011"	"2011"	"Female"	"F"	"20-24 years"	"20-24"	0	110918	0.00
	"Connecticut"	"09"	"2011"	"2011"	"Female"	"F"	"30-34 years"	"30-34"	0	106453	0.00
	"Connecticut"	"09"	"2011"	"2011"	"Female"	"F"	"35-39 years"	"35-39"	0	108044	0.00
	"Connecticut"	"09"	"2011"	"2011"	"Female"	"F"	"85+ years"	"85+"	20	58460	34.21
"Total"	"Connecticut"	"09"	"2011"	"2011"	"Female"	"F"			80	1842651	4.34
	"Connecticut"	"09"	"2011"	"2011"	"Male"	"M"	"< 1 year"	"1"	0	19273	0.00
	"Connecticut"	"09"	"2011"	"2011"	"Male"	"M"	"10-14 years"	"10-14"	0	122716	0.00
	"Connecticut"	"09"	"2011"	"2011"	"Male"	"M"	"15-19 years"	"15-19"	0	131995	0.00
	"Connecticut"	"09"	"2011"	"2011"	"Male"	"M"	"25-29 years"	"25-29"	0	109955	0.00
"Total"	"Connecticut"	"09"	"2011"	"2011"	"Male"	"M"			91	1751874	5.19
"Total"	"Connecticut"	"09"	"2011"	"2011"					171	3594525	4.76
	"Connecticut"	"09"	"2012"	"2012"	"Female"	"F"	"1-4 years"	"1-4"	0	77207	0.00
	"Connecticut"	"09"	"2012"	"2012"	"Female"	"F"	"10-14 years"	"10-14"	0	115858	0.00
	"Connecticut"	"09"	"2012"	"2012"	"Female"	"F"	"15-19 years"	"15-19"	0	126983	0.00
	"Connecticut"	"09"	"2012"	"2012"	"Female"	"F"	"35-39 years"	"35-39"	0	106278	0.00
"Total"	"Connecticut"	"09"	"2012"	"2012"	"Female"	"F"			73	1846774	3.95
	"Connecticut"	"09"	"2012"	"2012"	"Male"	"M"	"< 1 year"	"1"	0	18803	0.00
	"Connecticut"	"09"	"2012"	"2012"	"Male"	"M"	"10-14 years"	"10-14"	0	121817	0.00
	"Connecticut"	"09"	"2012"	"2012"	"Male"	"M"	"15-19 years"	"15-19"	0	132386	0.00
	"Connecticut"	"09"	"2012"	"2012"	"Male"	"M"	"20-24 years"	"20-24"	0	120421	0.00
	"Connecticut"	"09"	"2012"	"2012"	"Male"	"M"	"25-29 years"	"25-29"	0	110756	0.00
	"Connecticut"	"09"	"2012"	"2012"	"Male"	"M"	"30-34 years"	"30-34"	0	106086	0.00
	"Connecticut"	"09"	"2012"	"2012"	"Male"	"M"	"65-69 years"	"65-69"	17	79880	21.28
"Total"	"Connecticut"	"09"	"2012"	"2012"	"Male"	"M"			95	1758955	5.40
"Total"	"Connecticut"	"09"	"2012"	"2012"					168	3605729	4.66
	"Connecticut"	"09"	"2013"	"2013"	"Female"	"F"	"1-4 years"	"1-4"	0	75842	0.00
	"Connecticut"	"09"	"2013"	"2013"	"Female"	"F"	"10-14 years"	"10-14"	0	115137	0.00
	"Connecticut"	"09"	"2013"	"2013"	"Female"	"F"	"15-19 years"	"15-19"	0	125967	0.00
	"Connecticut"	"09"	"2013"	"2013"	"Female"	"F"	"20-24 years"	"20-24"	0	114065	0.00
	"Connecticut"	"09"	"2013"	"2013"	"Female"	"F"	"25-29 years"	"25-29"	0	107741	0.00
	"Connecticut"	"09"	"2013"	"2013"	"Female"	"F"	"30-34 years"	"30-34"	0	109805	0.00
	"Connecticut"	"09"	"2013"	"2013"	"Female"	"F"	"70-74 years"	"70-74"	16	66877	23.92
"Total"	"Connecticut"	"09"	"2013"	"2013"	"Female"	"F"			76	1847613	4.11
	"Connecticut"	"09"	"2013"	"2013"	"Male"	"M"	"< 1 year"	"1"	0	18423	0.00
	"Connecticut"	"09"	"2013"	"2013"	"Male"	"M"	"10-14 years"	"10-14"	0	121066	0.00
	"Connecticut"	"09"	"2013"	"2013"	"Male"	"M"	"15-19 years"	"15-19"	0	131060	0.00
	"Connecticut"	"09"	"2013"	"2013"	"Male"	"M"	"30-34 years"	"30-34"	0	107282	0.00
	"Connecticut"	"09"	"2013"	"2013"	"Male"	"M"	"60-64 years "	"60-64"	16	103167	15.51
"Total"	"Connecticut"	"09"	"2013"	"2013"	"Male"	"M"			79	1763195	4.48
"Total"	"Connecticut"	"09"	"2013"	"2013"					155	3610808	4.29
	"Connecticut"	"09"	"2014"	"2014"	"Female"	"F"	"1-4 years"	"1-4"	0	75037	0.00
	"Connecticut"	"09"	"2014"	"2014"	"Female"	"F"	"5-9 years"	"5-9"	0	103603	0.00
	"Connecticut"	"09"	"2014"	"2014"	"Female"	"F"	"20-24 years"	"20-24"	0	117040	0.00
	"Connecticut"	"09"	"2014"	"2014"	"Female"	"F"	"25-29 years"	"25-29"	0	107500	0.00
	"Connecticut"	"09"	"2014"	"2014"	"Female"	"F"	"35-39 years"	"35-39"	0	106536	0.00
	"Connecticut"	"09"	"2014"	"2014"	"Female"	"F"	"40-44 years"	"40-44"	0	119210	0.00
	"Connecticut"	"09"	"2014"	"2014"	"Female"	"F"	"55-59 years"	"55-59"	16	138601	11.54
"Total"	"Connecticut"	"09"	"2014"	"2014"	"Female"	"F"			78	1847943	4.22
	"Connecticut"	"09"	"2014"	"2014"	"Male"	"M"	"< 1 year"	"1"	0	18889	0.00
	"Connecticut"	"09"	"2014"	"2014"	"Male"	"M"	"5-9 years"	"5-9"	0	108017	0.00
	"Connecticut"	"09"	"2014"	"2014"	"Male"	"M"	"10-14 years"	"10-14"	0	120072	0.00
	"Connecticut"	"09"	"2014"	"2014"	"Male"	"M"	"20-24 years"	"20-24"	0	126376	0.00
	"Connecticut"	"09"	"2014"	"2014"	"Male"	"M"	"25-29 years"	"25-29"	0	111760	0.00
	"Connecticut"	"09"	"2014"	"2014"	"Male"	"M"	"70-74 years"	"70-74"	19	59182	32.10
"Total"	"Connecticut"	"09"	"2014"	"2014"	"Male"	"M"			111	1767185	6.28
"Total"	"Connecticut"	"09"	"2014"	"2014"					189	3615128	5.23
	"Connecticut"	"09"	"2015"	"2015"	"Female"	"F"	"< 1 year"	"1"	0	17978	0.00
	"Connecticut"	"09"	"2015"	"2015"	"Female"	"F"	"1-4 years"	"1-4"	0	74047	0.00
	"Connecticut"	"09"	"2015"	"2015"	"Female"	"F"	"10-14 years"	"10-14"	0	113202	0.00
	"Connecticut"	"09"	"2015"	"2015"	"Female"	"F"	"20-24 years"	"20-24"	0	118615	0.00
	"Connecticut"	"09"	"2015"	"2015"	"Female"	"F"	"25-29 years"	"25-29"	0	106644	0.00
	"Connecticut"	"09"	"2015"	"2015"	"Female"	"F"	"65-69 years"	"65-69"	16	97698	16.38
"Total"	"Connecticut"	"09"	"2015"	"2015"	"Female"	"F"			93	1845155	5.04
	"Connecticut"	"09"	"2015"	"2015"	"Male"	"M"	"< 1 year"	"1"	0	18712	0.00
	"Connecticut"	"09"	"2015"	"2015"	"Male"	"M"	"5-9 years"	"5-9"	0	106135	0.00
	"Connecticut"	"09"	"2015"	"2015"	"Male"	"M"	"15-19 years"	"15-19"	0	129836	0.00
	"Connecticut"	"09"	"2015"	"2015"	"Male"	"M"	"65-69 years"	"65-69"	18	87178	20.65
	"Connecticut"	"09"	"2015"	"2015"	"Male"	"M"	"70-74 years"	"70-74"	16	61591	25.98
"Total"	"Connecticut"	"09"	"2015"	"2015"	"Male"	"M"			119	1767209	6.73
"Total"	"Connecticut"	"09"	"2015"	"2015"					212	3612364	5.87
	"Connecticut"	"09"	"2016"	"2016"	"Female"	"F"	"< 1 year"	"1"	0	17823	0.00
	"Connecticut"	"09"	"2016"	"2016"	"Female"	"F"	"1-4 years"	"1-4"	0	73415	0.00
	"Connecticut"	"09"	"2016"	"2016"	"Female"	"F"	"15-19 years"	"15-19"	0	124220	0.00
"Total"	"Connecticut"	"09"	"2016"	"2016"	"Female"	"F"			75	1842071	4.07
	"Connecticut"	"09"	"2016"	"2016"	"Male"	"M"	"< 1 year"	"1"	0	18374	0.00
	"Connecticut"	"09"	"2016"	"2016"	"Male"	"M"	"1-4 years"	"1-4"	0	76862	0.00
	"Connecticut"	"09"	"2016"	"2016"	"Male"	"M"	"10-14 years"	"10-14"	0	117804	0.00
	"Connecticut"	"09"	"2016"	"2016"	"Male"	"M"	"15-19 years"	"15-19"	0	129089	0.00
	"Connecticut"	"09"	"2016"	"2016"	"Male"	"M"	"25-29 years"	"25-29"	0	111398	0.00
	"Connecticut"	"09"	"2016"	"2016"	"Male"	"M"	"50-54 years"	"50-54"	17	136105	12.49
	"Connecticut"	"09"	"2016"	"2016"	"Male"	"M"	"60-64 years "	"60-64"	17	113585	14.97
"Total"	"Connecticut"	"09"	"2016"	"2016"	"Male"	"M"			128	1765849	7.25
"Total"	"Connecticut"	"09"	"2016"	"2016"					203	3607920	5.63
	"Connecticut"	"09"	"2017"	"2017"	"Female"	"F"	"< 1 year"	"1"	0	17590	0.00
	"Connecticut"	"09"	"2017"	"2017"	"Female"	"F"	"1-4 years"	"1-4"	0	73364	0.00
	"Connecticut"	"09"	"2017"	"2017"	"Female"	"F"	"10-14 years"	"10-14"	0	112544	0.00
	"Connecticut"	"09"	"2017"	"2017"	"Female"	"F"	"20-24 years"	"20-24"	0	119152	0.00
	"Connecticut"	"09"	"2017"	"2017"	"Female"	"F"	"25-29 years"	"25-29"	0	106213	0.00
"Total"	"Connecticut"	"09"	"2017"	"2017"	"Female"	"F"			83	1840849	4.51
	"Connecticut"	"09"	"2017"	"2017"	"Male"	"M"	"< 1 year"	"1"	0	18306	0.00
	"Connecticut"	"09"	"2017"	"2017"	"Male"	"M"	"1-4 years"	"1-4"	0	76660	0.00
	"Connecticut"	"09"	"2017"	"2017"	"Male"	"M"	"10-14 years"	"10-14"	0	117107	0.00
	"Connecticut"	"09"	"2017"	"2017"	"Male"	"M"	"15-19 years"	"15-19"	0	127723	0.00
	"Connecticut"	"09"	"2017"	"2017"	"Male"	"M"	"25-29 years"	"25-29"	0	112305	0.00
	"Connecticut"	"09"	"2017"	"2017"	"Male"	"M"	"30-34 years"	"30-34"	0	111199	0.00
	"Connecticut"	"09"	"2017"	"2017"	"Male"	"M"	"60-64 years "	"60-64"	17	117271	14.50
"Total"	"Connecticut"	"09"	"2017"	"2017"	"Male"	"M"			103	1766722	5.83
"Total"	"Connecticut"	"09"	"2017"	"2017"					186	3607571	5.16
	"Connecticut"	"09"	"2018"	"2018"	"Female"	"F"	"< 1 year"	"1"	0	17237	0.00
	"Connecticut"	"09"	"2018"	"2018"	"Female"	"F"	"25-29 years"	"25-29"	0	107488	0.00
	"Connecticut"	"09"	"2018"	"2018"	"Female"	"F"	"35-39 years"	"35-39"	0	112625	0.00
	"Connecticut"	"09"	"2018"	"2018"	"Female"	"F"	"40-44 years"	"40-44"	0	106799	0.00
	"Connecticut"	"09"	"2018"	"2018"	"Female"	"F"	"60-64 years "	"60-64"	17	126036	13.49
"Total"	"Connecticut"	"09"	"2018"	"2018"	"Female"	"F"			88	1842025	4.78
	"Connecticut"	"09"	"2018"	"2018"	"Male"	"M"	"< 1 year"	"1"	0	18239	0.00
	"Connecticut"	"09"	"2018"	"2018"	"Male"	"M"	"1-4 years"	"1-4"	0	76702	0.00
	"Connecticut"	"09"	"2018"	"2018"	"Male"	"M"	"15-19 years"	"15-19"	0	126801	0.00
	"Connecticut"	"09"	"2018"	"2018"	"Male"	"M"	"25-29 years"	"25-29"	0	113908	0.00
"Total"	"Connecticut"	"09"	"2018"	"2018"	"Male"	"M"			108	1769203	6.10
"Total"	"Connecticut"	"09"	"2018"	"2018"					196	3611228	5.43
	"Connecticut"	"09"	"2019"	"2019"	"Female"	"F"	"< 1 year"	"1"	0	17091	0.00
	"Connecticut"	"09"	"2019"	"2019"	"Female"	"F"	"1-4 years"	"1-4"	0	73047	0.00
	"Connecticut"	"09"	"2019"	"2019"	"Female"	"F"	"5-9 years"	"5-9"	0	96867	0.00
	"Connecticut"	"09"	"2019"	"2019"	"Female"	"F"	"15-19 years"	"15-19"	0	121266	0.00
	"Connecticut"	"09"	"2019"	"2019"	"Female"	"F"	"20-24 years"	"20-24"	0	116881	0.00
	"Connecticut"	"09"	"2019"	"2019"	"Female"	"F"	"25-29 years"	"25-29"	0	108492	0.00
	"Connecticut"	"09"	"2019"	"2019"	"Female"	"F"	"35-39 years"	"35-39"	0	113331	0.00
"Total"	"Connecticut"	"09"	"2019"	"2019"	"Female"	"F"			92	1838979	5.00
	"Connecticut"	"09"	"2019"	"2019"	"Male"	"M"	"< 1 year"	"1"	0	17980	0.00
	"Connecticut"	"09"	"2019"	"2019"	"Male"	"M"	"1-4 years"	"1-4"	0	76232	0.00
	"Connecticut"	"09"	"2019"	"2019"	"Male"	"M"	"5-9 years"	"5-9"	0	101253	0.00
	"Connecticut"	"09"	"2019"	"2019"	"Male"	"M"	"20-24 years"	"20-24"	0	121996	0.00
	"Connecticut"	"09"	"2019"	"2019"	"Male"	"M"	"60-64 years "	"60-64"	19	121934	15.58
"Total"	"Connecticut"	"09"	"2019"	"2019"	"Male"	"M"			108	1768149	6.11
"Total"	"Connecticut"	"09"	"2019"	"2019"					200	3607128	5.54
	"Connecticut"	"09"	"2020"	"2020"	"Female"	"F"	"< 1 year"	"1"	0	16947	0.00
	"Connecticut"	"09"	"2020"	"2020"	"Female"	"F"	"1-4 years"	"1-4"	0	72144	0.00
	"Connecticut"	"09"	"2020"	"2020"	"Female"	"F"	"5-9 years"	"5-9"	0	96485	0.00
	"Connecticut"	"09"	"2020"	"2020"	"Female"	"F"	"25-29 years"	"25-29"	0	108465	0.00
	"Connecticut"	"09"	"2020"	"2020"	"Female"	"F"	"30-34 years"	"30-34"	0	111673	0.00
	"Connecticut"	"09"	"2020"	"2020"	"Female"	"F"	"35-39 years"	"35-39"	0	113868	0.00
	"Connecticut"	"09"	"2020"	"2020"	"Female"	"F"	"60-64 years "	"60-64"	17	129316	13.15
	"Connecticut"	"09"	"2020"	"2020"	"Female"	"F"	"85+ years"	"85+"	16	53842	29.72
"Total"	"Connecticut"	"09"	"2020"	"2020"	"Female"	"F"			97	1833701	5.29
	"Connecticut"	"09"	"2020"	"2020"	"Male"	"M"	"< 1 year"	"1"	0	17741	0.00
	"Connecticut"	"09"	"2020"	"2020"	"Male"	"M"	"1-4 years"	"1-4"	0	75331	0.00
	"Connecticut"	"09"	"2020"	"2020"	"Male"	"M"	"10-14 years"	"10-14"	0	113611	0.00
	"Connecticut"	"09"	"2020"	"2020"	"Male"	"M"	"15-19 years"	"15-19"	0	123950	0.00
	"Connecticut"	"09"	"2020"	"2020"	"Male"	"M"	"20-24 years"	"20-24"	0	120862	0.00
	"Connecticut"	"09"	"2020"	"2020"	"Male"	"M"	"25-29 years"	"25-29"	0	114397	0.00
	"Connecticut"	"09"	"2020"	"2020"	"Male"	"M"	"55-59 years"	"55-59"	17	132808	12.80
	"Connecticut"	"09"	"2020"	"2020"	"Male"	"M"	"60-64 years "	"60-64"	16	123443	12.96
	"Connecticut"	"09"	"2020"	"2020"	"Male"	"M"	"65-69 years"	"65-69"	24	96472	24.88
	"Connecticut"	"09"	"2020"	"2020"	"Male"	"M"	"70-74 years"	"70-74"	23	74027	31.07
	"Connecticut"	"09"	"2020"	"2020"	"Male"	"M"	"75-79 years"	"75-79"	17	50006	34.00
"Total"	"Connecticut"	"09"	"2020"	"2020"	"Male"	"M"			143	1763661	8.11
"Total"	"Connecticut"	"09"	"2020"	"2020"					240	3597362	6.67
	"Connecticut"	"09"	"2021"	"2021"	"Female"	"F"	"< 1 year"	"1"	0	16556	0.00
	"Connecticut"	"09"	"2021"	"2021"	"Female"	"F"	"5-9 years"	"5-9"	0	96238	0.00
	"Connecticut"	"09"	"2021"	"2021"	"Female"	"F"	"10-14 years"	"10-14"	0	107008	0.00
	"Connecticut"	"09"	"2021"	"2021"	"Female"	"F"	"15-19 years"	"15-19"	0	123601	0.00
	"Connecticut"	"09"	"2021"	"2021"	"Female"	"F"	"20-24 years"	"20-24"	0	120705	0.00
	"Connecticut"	"09"	"2021"	"2021"	"Female"	"F"	"60-64 years "	"60-64"	21	130879	16.05
	"Connecticut"	"09"	"2021"	"2021"	"Female"	"F"	"75-79 years"	"75-79"	19	63815	29.77
"Total"	"Connecticut"	"09"	"2021"	"2021"	"Female"	"F"			110	1848249	5.95
	"Connecticut"	"09"	"2021"	"2021"	"Male"	"M"	"< 1 year"	"1"	0	17274	0.00
	"Connecticut"	"09"	"2021"	"2021"	"Male"	"M"	"10-14 years"	"10-14"	0	111375	0.00
	"Connecticut"	"09"	"2021"	"2021"	"Male"	"M"	"15-19 years"	"15-19"	0	125653	0.00
	"Connecticut"	"09"	"2021"	"2021"	"Male"	"M"	"30-34 years"	"30-34"	0	114415	0.00
	"Connecticut"	"09"	"2021"	"2021"	"Male"	"M"	"45-49 years"	"45-49"	0	104037	0.00
"Total"	"Connecticut"	"09"	"2021"	"2021"	"Male"	"M"			110	1775106	6.20
"Total"	"Connecticut"	"09"	"2021"	"2021"					220	3623355	6.07
"Total"	"Connecticut"	"09"							4075	81602779	4.99
	"Delaware"	"10"	"1999"	"1999"	"Female"	"F"	"< 1 year"	"1"	0	4949	0.00
	"Delaware"	"10"	"1999"	"1999"	"Female"	"F"	"5-9 years"	"5-9"	0	27085	0.00
	"Delaware"	"10"	"1999"	"1999"	"Female"	"F"	"10-14 years"	"10-14"	0	26385	0.00
	"Delaware"	"10"	"1999"	"1999"	"Female"	"F"	"15-19 years"	"15-19"	0	27299	0.00
	"Delaware"	"10"	"1999"	"1999"	"Female"	"F"	"20-24 years"	"20-24"	0	25263	0.00
	"Delaware"	"10"	"1999"	"1999"	"Female"	"F"	"25-29 years"	"25-29"	0	26844	0.00
	"Delaware"	"10"	"1999"	"1999"	"Female"	"F"	"30-34 years"	"30-34"	0	29265	0.00
"Total"	"Delaware"	"10"	"1999"	"1999"	"Female"	"F"			21	398732	5.27
	"Delaware"	"10"	"1999"	"1999"	"Male"	"M"	"< 1 year"	"1"	0	5274	0.00
	"Delaware"	"10"	"1999"	"1999"	"Male"	"M"	"1-4 years"	"1-4"	0	20787	0.00
	"Delaware"	"10"	"1999"	"1999"	"Male"	"M"	"5-9 years"	"5-9"	0	28683	0.00
	"Delaware"	"10"	"1999"	"1999"	"Male"	"M"	"10-14 years"	"10-14"	0	27675	0.00
	"Delaware"	"10"	"1999"	"1999"	"Male"	"M"	"15-19 years"	"15-19"	0	27531	0.00
	"Delaware"	"10"	"1999"	"1999"	"Male"	"M"	"20-24 years"	"20-24"	0	24823	0.00
	"Delaware"	"10"	"1999"	"1999"	"Male"	"M"	"25-29 years"	"25-29"	0	26448	0.00
	"Delaware"	"10"	"1999"	"1999"	"Male"	"M"	"30-34 years"	"30-34"	0	28492	0.00
	"Delaware"	"10"	"1999"	"1999"	"Male"	"M"	"45-49 years"	"45-49"	0	25815	0.00
	"Delaware"	"10"	"1999"	"1999"	"Male"	"M"	"85+ years"	"85+"	0	2847	0.00
"Total"	"Delaware"	"10"	"1999"	"1999"					36	774990	4.65
	"Delaware"	"10"	"2000"	"2000"	"Female"	"F"	"< 1 year"	"1"	0	5042	0.00
	"Delaware"	"10"	"2000"	"2000"	"Female"	"F"	"1-4 years"	"1-4"	0	20220	0.00
	"Delaware"	"10"	"2000"	"2000"	"Female"	"F"	"5-9 years"	"5-9"	0	26994	0.00
	"Delaware"	"10"	"2000"	"2000"	"Female"	"F"	"15-19 years"	"15-19"	0	27775	0.00
	"Delaware"	"10"	"2000"	"2000"	"Female"	"F"	"25-29 years"	"25-29"	0	25643	0.00
	"Delaware"	"10"	"2000"	"2000"	"Female"	"F"	"30-34 years"	"30-34"	0	29178	0.00
	"Delaware"	"10"	"2000"	"2000"	"Female"	"F"	"35-39 years"	"35-39"	0	32823	0.00
	"Delaware"	"10"	"2000"	"2000"	"Female"	"F"	"40-44 years"	"40-44"	0	32145	0.00
	"Delaware"	"10"	"2000"	"2000"	"Female"	"F"	"45-49 years"	"45-49"	0	28489	0.00
	"Delaware"	"10"	"2000"	"2000"	"Female"	"F"	"80-84 years"	"80-84"	0	8463	0.00
	"Delaware"	"10"	"2000"	"2000"	"Female"	"F"	"85+ years"	"85+"	0	7646	0.00
"Total"	"Delaware"	"10"	"2000"	"2000"	"Female"	"F"			16	404447	3.96
	"Delaware"	"10"	"2000"	"2000"	"Male"	"M"	"< 1 year"	"1"	0	5370	0.00
	"Delaware"	"10"	"2000"	"2000"	"Male"	"M"	"1-4 years"	"1-4"	0	20910	0.00
	"Delaware"	"10"	"2000"	"2000"	"Male"	"M"	"5-9 years"	"5-9"	0	28597	0.00
	"Delaware"	"10"	"2000"	"2000"	"Male"	"M"	"10-14 years"	"10-14"	0	28470	0.00
	"Delaware"	"10"	"2000"	"2000"	"Male"	"M"	"20-24 years"	"20-24"	0	25869	0.00
