"Notes"	"States"	"States Code"	"Year"	"Year Code"	"Sex"	"Sex Code"	"Age Groups"	"Age Groups Code"	Count	Population	Crude Rate
	"Florida"	"12"	"2020"	"2020"	"Female"	"F"	"1-4 years"	"1-4"	17	437248	3.89
	"Florida"	"12"	"2020"	"2020"	"Female"	"F"	"5-9 years"	"5-9"	22	564336	3.90
	"Florida"	"12"	"2020"	"2020"	"Female"	"F"	"15-19 years"	"15-19"	21	614394	3.42
	"Florida"	"12"	"2020"	"2020"	"Female"	"F"	"25-29 years"	"25-29"	18	661421	2.72
	"Florida"	"12"	"2020"	"2020"	"Female"	"F"	"30-34 years"	"30-34"	18	687221	2.62
	"Florida"	"12"	"2020"	"2020"	"Female"	"F"	"35-39 years"	"35-39"	20	670400	2.98
	"Florida"	"12"	"2020"	"2020"	"Female"	"F"	"40-44 years"	"40-44"	16	645587	2.48
	"Florida"	"12"	"2020"	"2020"	"Female"	"F"	"45-49 years"	"45-49"	27	663627	4.07
	"Florida"	"12"	"2020"	"2020"	"Female"	"F"	"50-54 years"	"50-54"	52	689569	7.54
	"Florida"	"12"	"2020"	"2020"	"Female"	"F"	"55-59 years"	"55-59"	64	764878	8.37
	"Florida"	"12"	"2020"	"2020"	"Female"	"F"	"60-64 years "	"60-64"	78	748526	10.42
	"Florida"	"12"	"2020"	"2020"	"Female"	"F"	"65-69 years"	"65-69"	96	700184	13.71
	"Florida"	"12"	"2020"	"2020"	"Female"	"F"	"70-74 years"	"70-74"	107	631527	16.94
	"Florida"	"12"	"2020"	"2020"	"Female"	"F"	"75-79 years"	"75-79"	83	468237	17.73
	"Florida"	"12"	"2020"	"2020"	"Female"	"F"	"80-84 years"	"80-84"	65	321751	20.20
	"Florida"	"12"	"2020"	"2020"	"Female"	"F"	"85+ years"	"85+"	51	357994	14.25
	"Florida"	"12"	"2020"	"2020"	"Male"	"M"	"1-4 years"	"1-4"	28	455958	6.14
	"Florida"	"12"	"2020"	"2020"	"Male"	"M"	"5-9 years"	"5-9"	24	591185	4.06
	"Florida"	"12"	"2020"	"2020"	"Male"	"M"	"10-14 years"	"10-14"	17	631453	2.69
	"Florida"	"12"	"2020"	"2020"	"Male"	"M"	"15-19 years"	"15-19"	26	642378	4.05
	"Florida"	"12"	"2020"	"2020"	"Male"	"M"	"20-24 years"	"20-24"	16	656759	2.44
	"Florida"	"12"	"2020"	"2020"	"Male"	"M"	"25-29 years"	"25-29"	19	690255	2.75
	"Florida"	"12"	"2020"	"2020"	"Male"	"M"	"30-34 years"	"30-34"	22	713055	3.09
	"Florida"	"12"	"2020"	"2020"	"Male"	"M"	"35-39 years"	"35-39"	20	686424	2.91
	"Florida"	"12"	"2020"	"2020"	"Male"	"M"	"40-44 years"	"40-44"	40	649403	6.16
	"Florida"	"12"	"2020"	"2020"	"Male"	"M"	"45-49 years"	"45-49"	47	662069	7.10
	"Florida"	"12"	"2020"	"2020"	"Male"	"M"	"50-54 years"	"50-54"	60	683412	8.78
	"Florida"	"12"	"2020"	"2020"	"Male"	"M"	"55-59 years"	"55-59"	100	731969	13.66
	"Florida"	"12"	"2020"	"2020"	"Male"	"M"	"60-64 years "	"60-64"	104	683040	15.23
	"Florida"	"12"	"2020"	"2020"	"Male"	"M"	"65-69 years"	"65-69"	125	608686	20.54
	"Florida"	"12"	"2020"	"2020"	"Male"	"M"	"70-74 years"	"70-74"	127	550839	23.06
	"Florida"	"12"	"2020"	"2020"	"Male"	"M"	"75-79 years"	"75-79"	98	397510	24.65
	"Florida"	"12"	"2020"	"2020"	"Male"	"M"	"80-84 years"	"80-84"	81	257106	31.50
	"Florida"	"12"	"2020"	"2020"	"Male"	"M"	"85+ years"	"85+"	36	225720	15.95
	"Florida"	"12"	"2021"	"2021"	"Female"	"F"	"1-4 years"	"1-4"	20	432386	4.63
	"Florida"	"12"	"2021"	"2021"	"Female"	"F"	"5-9 years"	"5-9"	21	569186	3.69
	"Florida"	"12"	"2021"	"2021"	"Female"	"F"	"10-14 years"	"10-14"	16	600456	2.66
	"Florida"	"12"	"2021"	"2021"	"Female"	"F"	"15-19 years"	"15-19"	16	613133	2.61
	"Florida"	"12"	"2021"	"2021"	"Female"	"F"	"25-29 years"	"25-29"	18	651166	2.76
	"Florida"	"12"	"2021"	"2021"	"Female"	"F"	"30-34 years"	"30-34"	26	701790	3.70
	"Florida"	"12"	"2021"	"2021"	"Female"	"F"	"35-39 years"	"35-39"	25	679254	3.68
	"Florida"	"12"	"2021"	"2021"	"Female"	"F"	"40-44 years"	"40-44"	25	660537	3.78
	"Florida"	"12"	"2021"	"2021"	"Female"	"F"	"45-49 years"	"45-49"	25	652474	3.83
	"Florida"	"12"	"2021"	"2021"	"Female"	"F"	"50-54 years"	"50-54"	51	698598	7.30
	"Florida"	"12"	"2021"	"2021"	"Female"	"F"	"55-59 years"	"55-59"	70	760061	9.21
	"Florida"	"12"	"2021"	"2021"	"Female"	"F"	"60-64 years "	"60-64"	102	765493	13.32
	"Florida"	"12"	"2021"	"2021"	"Female"	"F"	"65-69 years"	"65-69"	101	716100	14.10
	"Florida"	"12"	"2021"	"2021"	"Female"	"F"	"70-74 years"	"70-74"	101	658641	15.33
	"Florida"	"12"	"2021"	"2021"	"Female"	"F"	"75-79 years"	"75-79"	90	482109	18.67
	"Florida"	"12"	"2021"	"2021"	"Female"	"F"	"80-84 years"	"80-84"	52	331975	15.66
	"Florida"	"12"	"2021"	"2021"	"Female"	"F"	"85+ years"	"85+"	43	362175	11.87
	"Florida"	"12"	"2021"	"2021"	"Male"	"M"	"1-4 years"	"1-4"	19	450856	4.21
	"Florida"	"12"	"2021"	"2021"	"Male"	"M"	"5-9 years"	"5-9"	27	595892	4.53
	"Florida"	"12"	"2021"	"2021"	"Male"	"M"	"10-14 years"	"10-14"	21	629076	3.34
	"Florida"	"12"	"2021"	"2021"	"Male"	"M"	"25-29 years"	"25-29"	27	682028	3.96
	"Florida"	"12"	"2021"	"2021"	"Male"	"M"	"30-34 years"	"30-34"	41	725113	5.65
	"Florida"	"12"	"2021"	"2021"	"Male"	"M"	"35-39 years"	"35-39"	30	698149	4.30
	"Florida"	"12"	"2021"	"2021"	"Male"	"M"	"40-44 years"	"40-44"	32	666140	4.80
	"Florida"	"12"	"2021"	"2021"	"Male"	"M"	"45-49 years"	"45-49"	50	648472	7.71
	"Florida"	"12"	"2021"	"2021"	"Male"	"M"	"50-54 years"	"50-54"	67	692984	9.67
	"Florida"	"12"	"2021"	"2021"	"Male"	"M"	"55-59 years"	"55-59"	94	729221	12.89
	"Florida"	"12"	"2021"	"2021"	"Male"	"M"	"60-64 years "	"60-64"	135	703263	19.20
	"Florida"	"12"	"2021"	"2021"	"Male"	"M"	"65-69 years"	"65-69"	108	623328	17.33
	"Florida"	"12"	"2021"	"2021"	"Male"	"M"	"70-74 years"	"70-74"	147	570717	25.76
	"Florida"	"12"	"2021"	"2021"	"Male"	"M"	"75-79 years"	"75-79"	111	407489	27.24
	"Florida"	"12"	"2021"	"2021"	"Male"	"M"	"80-84 years"	"80-84"	58	265118	21.88
	"Florida"	"12"	"2021"	"2021"	"Male"	"M"	"85+ years"	"85+"	43	231731	18.56
	"Georgia"	"13"	"1999"	"1999"	"Female"	"F"	"45-49 years"	"45-49"	17	287514	5.91
	"Georgia"	"13"	"1999"	"1999"	"Female"	"F"	"55-59 years"	"55-59"	19	186795	10.17
	"Georgia"	"13"	"1999"	"1999"	"Female"	"F"	"65-69 years"	"65-69"	18	127362	14.13
	"Georgia"	"13"	"1999"	"1999"	"Female"	"F"	"70-74 years"	"70-74"	21	113851	18.45
	"Georgia"	"13"	"1999"	"1999"	"Female"	"F"	"80-84 years"	"80-84"	18	68755	26.18
	"Georgia"	"13"	"1999"	"1999"	"Male"	"M"	"40-44 years"	"40-44"	18	315924	5.70
	"Georgia"	"13"	"1999"	"1999"	"Male"	"M"	"45-49 years"	"45-49"	25	271911	9.19
	"Georgia"	"13"	"1999"	"1999"	"Male"	"M"	"50-54 years"	"50-54"	23	236763	9.71
	"Georgia"	"13"	"1999"	"1999"	"Male"	"M"	"55-59 years"	"55-59"	22	175590	12.53
	"Georgia"	"13"	"1999"	"1999"	"Male"	"M"	"60-64 years "	"60-64"	18	132764	13.56
	"Georgia"	"13"	"1999"	"1999"	"Male"	"M"	"65-69 years"	"65-69"	16	106398	15.04
	"Georgia"	"13"	"1999"	"1999"	"Male"	"M"	"70-74 years"	"70-74"	24	83665	28.69
	"Georgia"	"13"	"1999"	"1999"	"Male"	"M"	"75-79 years"	"75-79"	17	60699	28.01
	"Georgia"	"13"	"2000"	"2000"	"Female"	"F"	"50-54 years"	"50-54"	20	264336	7.57
	"Georgia"	"13"	"2000"	"2000"	"Female"	"F"	"60-64 years "	"60-64"	16	151404	10.57
	"Georgia"	"13"	"2000"	"2000"	"Female"	"F"	"65-69 years"	"65-69"	20	128976	15.51
	"Georgia"	"13"	"2000"	"2000"	"Female"	"F"	"70-74 years"	"70-74"	24	114344	20.99
	"Georgia"	"13"	"2000"	"2000"	"Female"	"F"	"80-84 years"	"80-84"	19	69302	27.42
	"Georgia"	"13"	"2000"	"2000"	"Male"	"M"	"40-44 years"	"40-44"	16	324746	4.93
	"Georgia"	"13"	"2000"	"2000"	"Male"	"M"	"45-49 years"	"45-49"	21	281221	7.47
	"Georgia"	"13"	"2000"	"2000"	"Male"	"M"	"50-54 years"	"50-54"	25	250048	10.00
	"Georgia"	"13"	"2000"	"2000"	"Male"	"M"	"55-59 years"	"55-59"	28	184192	15.20
	"Georgia"	"13"	"2000"	"2000"	"Male"	"M"	"60-64 years "	"60-64"	19	136835	13.89
	"Georgia"	"13"	"2000"	"2000"	"Male"	"M"	"65-69 years"	"65-69"	22	108083	20.35
	"Georgia"	"13"	"2001"	"2001"	"Female"	"F"	"45-49 years"	"45-49"	21	305000	6.89
	"Georgia"	"13"	"2001"	"2001"	"Female"	"F"	"50-54 years"	"50-54"	16	278689	5.74
	"Georgia"	"13"	"2001"	"2001"	"Female"	"F"	"55-59 years"	"55-59"	20	202751	9.86
	"Georgia"	"13"	"2001"	"2001"	"Female"	"F"	"60-64 years "	"60-64"	16	156520	10.22
	"Georgia"	"13"	"2001"	"2001"	"Female"	"F"	"65-69 years"	"65-69"	23	131718	17.46
	"Georgia"	"13"	"2001"	"2001"	"Female"	"F"	"70-74 years"	"70-74"	16	114127	14.02
	"Georgia"	"13"	"2001"	"2001"	"Female"	"F"	"75-79 years"	"75-79"	16	97696	16.38
	"Georgia"	"13"	"2001"	"2001"	"Male"	"M"	"40-44 years"	"40-44"	17	332530	5.11
	"Georgia"	"13"	"2001"	"2001"	"Male"	"M"	"45-49 years"	"45-49"	17	289742	5.87
	"Georgia"	"13"	"2001"	"2001"	"Male"	"M"	"50-54 years"	"50-54"	27	261939	10.31
	"Georgia"	"13"	"2001"	"2001"	"Male"	"M"	"55-59 years"	"55-59"	38	190431	19.95
	"Georgia"	"13"	"2001"	"2001"	"Male"	"M"	"60-64 years "	"60-64"	23	142350	16.16
	"Georgia"	"13"	"2001"	"2001"	"Male"	"M"	"65-69 years"	"65-69"	21	110851	18.94
	"Georgia"	"13"	"2001"	"2001"	"Male"	"M"	"70-74 years"	"70-74"	26	86414	30.09
	"Georgia"	"13"	"2001"	"2001"	"Male"	"M"	"75-79 years"	"75-79"	17	62093	27.38
	"Georgia"	"13"	"2002"	"2002"	"Female"	"F"	"45-49 years"	"45-49"	16	315101	5.08
	"Georgia"	"13"	"2002"	"2002"	"Female"	"F"	"50-54 years"	"50-54"	22	280043	7.86
	"Georgia"	"13"	"2002"	"2002"	"Female"	"F"	"55-59 years"	"55-59"	25	221908	11.27
	"Georgia"	"13"	"2002"	"2002"	"Female"	"F"	"65-69 years"	"65-69"	19	133689	14.21
	"Georgia"	"13"	"2002"	"2002"	"Female"	"F"	"70-74 years"	"70-74"	18	114778	15.68
	"Georgia"	"13"	"2002"	"2002"	"Female"	"F"	"75-79 years"	"75-79"	26	97953	26.54
	"Georgia"	"13"	"2002"	"2002"	"Male"	"M"	"1-4 years"	"1-4"	16	254255	6.29
	"Georgia"	"13"	"2002"	"2002"	"Male"	"M"	"45-49 years"	"45-49"	19	300152	6.33
	"Georgia"	"13"	"2002"	"2002"	"Male"	"M"	"50-54 years"	"50-54"	18	261961	6.87
	"Georgia"	"13"	"2002"	"2002"	"Male"	"M"	"55-59 years"	"55-59"	30	207782	14.44
	"Georgia"	"13"	"2002"	"2002"	"Male"	"M"	"60-64 years "	"60-64"	28	149208	18.77
	"Georgia"	"13"	"2002"	"2002"	"Male"	"M"	"65-69 years"	"65-69"	26	113427	22.92
	"Georgia"	"13"	"2002"	"2002"	"Male"	"M"	"70-74 years"	"70-74"	20	87995	22.73
	"Georgia"	"13"	"2003"	"2003"	"Female"	"F"	"45-49 years"	"45-49"	20	323609	6.18
	"Georgia"	"13"	"2003"	"2003"	"Female"	"F"	"55-59 years"	"55-59"	25	234342	10.67
	"Georgia"	"13"	"2003"	"2003"	"Female"	"F"	"60-64 years "	"60-64"	22	174503	12.61
	"Georgia"	"13"	"2003"	"2003"	"Female"	"F"	"65-69 years"	"65-69"	21	137064	15.32
	"Georgia"	"13"	"2003"	"2003"	"Female"	"F"	"75-79 years"	"75-79"	18	98446	18.28
	"Georgia"	"13"	"2003"	"2003"	"Male"	"M"	"40-44 years"	"40-44"	21	340805	6.16
	"Georgia"	"13"	"2003"	"2003"	"Male"	"M"	"45-49 years"	"45-49"	23	309011	7.44
	"Georgia"	"13"	"2003"	"2003"	"Male"	"M"	"50-54 years"	"50-54"	25	265281	9.42
	"Georgia"	"13"	"2003"	"2003"	"Male"	"M"	"55-59 years"	"55-59"	17	218699	7.77
	"Georgia"	"13"	"2003"	"2003"	"Male"	"M"	"60-64 years "	"60-64"	24	159798	15.02
	"Georgia"	"13"	"2003"	"2003"	"Male"	"M"	"65-69 years"	"65-69"	25	117206	21.33
	"Georgia"	"13"	"2003"	"2003"	"Male"	"M"	"70-74 years"	"70-74"	20	89605	22.32
	"Georgia"	"13"	"2004"	"2004"	"Female"	"F"	"1-4 years"	"1-4"	16	255693	6.26
	"Georgia"	"13"	"2004"	"2004"	"Female"	"F"	"30-34 years"	"30-34"	16	337671	4.74
	"Georgia"	"13"	"2004"	"2004"	"Female"	"F"	"55-59 years"	"55-59"	23	248253	9.26
	"Georgia"	"13"	"2004"	"2004"	"Female"	"F"	"60-64 years "	"60-64"	23	183274	12.55
	"Georgia"	"13"	"2004"	"2004"	"Female"	"F"	"65-69 years"	"65-69"	26	141109	18.43
	"Georgia"	"13"	"2004"	"2004"	"Female"	"F"	"70-74 years"	"70-74"	24	116233	20.65
	"Georgia"	"13"	"2004"	"2004"	"Female"	"F"	"75-79 years"	"75-79"	21	98536	21.31
	"Georgia"	"13"	"2004"	"2004"	"Female"	"F"	"80-84 years"	"80-84"	18	75885	23.72
	"Georgia"	"13"	"2004"	"2004"	"Male"	"M"	"35-39 years"	"35-39"	23	336721	6.83
	"Georgia"	"13"	"2004"	"2004"	"Male"	"M"	"40-44 years"	"40-44"	18	347044	5.19
	"Georgia"	"13"	"2004"	"2004"	"Male"	"M"	"50-54 years"	"50-54"	29	271242	10.69
	"Georgia"	"13"	"2004"	"2004"	"Male"	"M"	"55-59 years"	"55-59"	31	230224	13.47
	"Georgia"	"13"	"2004"	"2004"	"Male"	"M"	"60-64 years "	"60-64"	27	167757	16.09
	"Georgia"	"13"	"2004"	"2004"	"Male"	"M"	"65-69 years"	"65-69"	23	121354	18.95
	"Georgia"	"13"	"2004"	"2004"	"Male"	"M"	"70-74 years"	"70-74"	20	90881	22.01
	"Georgia"	"13"	"2005"	"2005"	"Female"	"F"	"45-49 years"	"45-49"	19	339853	5.59
	"Georgia"	"13"	"2005"	"2005"	"Female"	"F"	"55-59 years"	"55-59"	19	264370	7.19
	"Georgia"	"13"	"2005"	"2005"	"Female"	"F"	"60-64 years "	"60-64"	18	192460	9.35
	"Georgia"	"13"	"2005"	"2005"	"Female"	"F"	"65-69 years"	"65-69"	25	146229	17.10
	"Georgia"	"13"	"2005"	"2005"	"Female"	"F"	"70-74 years"	"70-74"	20	119462	16.74
	"Georgia"	"13"	"2005"	"2005"	"Female"	"F"	"75-79 years"	"75-79"	26	99447	26.14
	"Georgia"	"13"	"2005"	"2005"	"Male"	"M"	"35-39 years"	"35-39"	24	337941	7.10
	"Georgia"	"13"	"2005"	"2005"	"Male"	"M"	"40-44 years"	"40-44"	19	350392	5.42
	"Georgia"	"13"	"2005"	"2005"	"Male"	"M"	"45-49 years"	"45-49"	17	325141	5.23
	"Georgia"	"13"	"2005"	"2005"	"Male"	"M"	"50-54 years"	"50-54"	22	279442	7.87
	"Georgia"	"13"	"2005"	"2005"	"Male"	"M"	"55-59 years"	"55-59"	35	243944	14.35
	"Georgia"	"13"	"2005"	"2005"	"Male"	"M"	"60-64 years "	"60-64"	38	175289	21.68
	"Georgia"	"13"	"2005"	"2005"	"Male"	"M"	"65-69 years"	"65-69"	28	127089	22.03
	"Georgia"	"13"	"2005"	"2005"	"Male"	"M"	"70-74 years"	"70-74"	24	93857	25.57
	"Georgia"	"13"	"2005"	"2005"	"Male"	"M"	"75-79 years"	"75-79"	24	67600	35.50
	"Georgia"	"13"	"2006"	"2006"	"Female"	"F"	"45-49 years"	"45-49"	17	348856	4.87
	"Georgia"	"13"	"2006"	"2006"	"Female"	"F"	"50-54 years"	"50-54"	19	308809	6.15
	"Georgia"	"13"	"2006"	"2006"	"Female"	"F"	"55-59 years"	"55-59"	28	280259	9.99
	"Georgia"	"13"	"2006"	"2006"	"Female"	"F"	"60-64 years "	"60-64"	26	201186	12.92
	"Georgia"	"13"	"2006"	"2006"	"Female"	"F"	"65-69 years"	"65-69"	24	154561	15.53
	"Georgia"	"13"	"2006"	"2006"	"Female"	"F"	"70-74 years"	"70-74"	23	124248	18.51
	"Georgia"	"13"	"2006"	"2006"	"Female"	"F"	"75-79 years"	"75-79"	18	100865	17.85
	"Georgia"	"13"	"2006"	"2006"	"Male"	"M"	"40-44 years"	"40-44"	23	352580	6.52
	"Georgia"	"13"	"2006"	"2006"	"Male"	"M"	"45-49 years"	"45-49"	21	333704	6.29
	"Georgia"	"13"	"2006"	"2006"	"Male"	"M"	"50-54 years"	"50-54"	35	289307	12.10
	"Georgia"	"13"	"2006"	"2006"	"Male"	"M"	"55-59 years"	"55-59"	32	256155	12.49
	"Georgia"	"13"	"2006"	"2006"	"Male"	"M"	"60-64 years "	"60-64"	29	182450	15.89
	"Georgia"	"13"	"2006"	"2006"	"Male"	"M"	"65-69 years"	"65-69"	17	134913	12.60
	"Georgia"	"13"	"2006"	"2006"	"Male"	"M"	"70-74 years"	"70-74"	19	97965	19.39
	"Georgia"	"13"	"2007"	"2007"	"Female"	"F"	"1-4 years"	"1-4"	19	268841	7.07
	"Georgia"	"13"	"2007"	"2007"	"Female"	"F"	"5-9 years"	"5-9"	19	325555	5.84
	"Georgia"	"13"	"2007"	"2007"	"Female"	"F"	"10-14 years"	"10-14"	16	330026	4.85
	"Georgia"	"13"	"2007"	"2007"	"Female"	"F"	"35-39 years"	"35-39"	17	361126	4.71
	"Georgia"	"13"	"2007"	"2007"	"Female"	"F"	"40-44 years"	"40-44"	19	362054	5.25
	"Georgia"	"13"	"2007"	"2007"	"Female"	"F"	"50-54 years"	"50-54"	21	321021	6.54
	"Georgia"	"13"	"2007"	"2007"	"Female"	"F"	"55-59 years"	"55-59"	19	283744	6.70
	"Georgia"	"13"	"2007"	"2007"	"Female"	"F"	"60-64 years "	"60-64"	17	221927	7.66
	"Georgia"	"13"	"2007"	"2007"	"Female"	"F"	"65-69 years"	"65-69"	18	162323	11.09
	"Georgia"	"13"	"2007"	"2007"	"Female"	"F"	"70-74 years"	"70-74"	24	126792	18.93
	"Georgia"	"13"	"2007"	"2007"	"Female"	"F"	"75-79 years"	"75-79"	22	102105	21.55
	"Georgia"	"13"	"2007"	"2007"	"Male"	"M"	"40-44 years"	"40-44"	23	351283	6.55
	"Georgia"	"13"	"2007"	"2007"	"Male"	"M"	"45-49 years"	"45-49"	21	340214	6.17
	"Georgia"	"13"	"2007"	"2007"	"Male"	"M"	"50-54 years"	"50-54"	25	301515	8.29
	"Georgia"	"13"	"2007"	"2007"	"Male"	"M"	"55-59 years"	"55-59"	29	256919	11.29
	"Georgia"	"13"	"2007"	"2007"	"Male"	"M"	"60-64 years "	"60-64"	32	200897	15.93
	"Georgia"	"13"	"2007"	"2007"	"Male"	"M"	"65-69 years"	"65-69"	29	142190	20.40
	"Georgia"	"13"	"2007"	"2007"	"Male"	"M"	"70-74 years"	"70-74"	31	101028	30.68
	"Georgia"	"13"	"2008"	"2008"	"Female"	"F"	"45-49 years"	"45-49"	16	361866	4.42
	"Georgia"	"13"	"2008"	"2008"	"Female"	"F"	"50-54 years"	"50-54"	21	330455	6.35
	"Georgia"	"13"	"2008"	"2008"	"Female"	"F"	"55-59 years"	"55-59"	19	289224	6.57
	"Georgia"	"13"	"2008"	"2008"	"Female"	"F"	"60-64 years "	"60-64"	20	234844	8.52
	"Georgia"	"13"	"2008"	"2008"	"Female"	"F"	"70-74 years"	"70-74"	24	130117	18.44
	"Georgia"	"13"	"2008"	"2008"	"Female"	"F"	"75-79 years"	"75-79"	25	102856	24.31
	"Georgia"	"13"	"2008"	"2008"	"Female"	"F"	"80-84 years"	"80-84"	20	79752	25.08
	"Georgia"	"13"	"2008"	"2008"	"Male"	"M"	"5-9 years"	"5-9"	18	344692	5.22
	"Georgia"	"13"	"2008"	"2008"	"Male"	"M"	"10-14 years"	"10-14"	16	347406	4.61
	"Georgia"	"13"	"2008"	"2008"	"Male"	"M"	"40-44 years"	"40-44"	25	349389	7.16
	"Georgia"	"13"	"2008"	"2008"	"Male"	"M"	"45-49 years"	"45-49"	30	345165	8.69
	"Georgia"	"13"	"2008"	"2008"	"Male"	"M"	"50-54 years"	"50-54"	21	311135	6.75
	"Georgia"	"13"	"2008"	"2008"	"Male"	"M"	"55-59 years"	"55-59"	32	260723	12.27
	"Georgia"	"13"	"2008"	"2008"	"Male"	"M"	"60-64 years "	"60-64"	32	212476	15.06
	"Georgia"	"13"	"2008"	"2008"	"Male"	"M"	"65-69 years"	"65-69"	23	152640	15.07
	"Georgia"	"13"	"2008"	"2008"	"Male"	"M"	"70-74 years"	"70-74"	26	105114	24.74
	"Georgia"	"13"	"2008"	"2008"	"Male"	"M"	"75-79 years"	"75-79"	28	73931	37.87
	"Georgia"	"13"	"2009"	"2009"	"Female"	"F"	"50-54 years"	"50-54"	18	337883	5.33
	"Georgia"	"13"	"2009"	"2009"	"Female"	"F"	"55-59 years"	"55-59"	17	296053	5.74
	"Georgia"	"13"	"2009"	"2009"	"Female"	"F"	"60-64 years "	"60-64"	28	249562	11.22
	"Georgia"	"13"	"2009"	"2009"	"Female"	"F"	"65-69 years"	"65-69"	22	183177	12.01
	"Georgia"	"13"	"2009"	"2009"	"Female"	"F"	"70-74 years"	"70-74"	23	134789	17.06
	"Georgia"	"13"	"2009"	"2009"	"Female"	"F"	"75-79 years"	"75-79"	23	103653	22.19
	"Georgia"	"13"	"2009"	"2009"	"Female"	"F"	"80-84 years"	"80-84"	19	80525	23.60
	"Georgia"	"13"	"2009"	"2009"	"Male"	"M"	"30-34 years"	"30-34"	17	322356	5.27
	"Georgia"	"13"	"2009"	"2009"	"Male"	"M"	"45-49 years"	"45-49"	29	350865	8.27
	"Georgia"	"13"	"2009"	"2009"	"Male"	"M"	"50-54 years"	"50-54"	27	318237	8.48
	"Georgia"	"13"	"2009"	"2009"	"Male"	"M"	"55-59 years"	"55-59"	37	266390	13.89
	"Georgia"	"13"	"2009"	"2009"	"Male"	"M"	"60-64 years "	"60-64"	34	224479	15.15
	"Georgia"	"13"	"2009"	"2009"	"Male"	"M"	"65-69 years"	"65-69"	40	160941	24.85
	"Georgia"	"13"	"2009"	"2009"	"Male"	"M"	"70-74 years"	"70-74"	24	109199	21.98
	"Georgia"	"13"	"2009"	"2009"	"Male"	"M"	"75-79 years"	"75-79"	24	75576	31.76
	"Georgia"	"13"	"2009"	"2009"	"Male"	"M"	"85+ years"	"85+"	16	32267	49.59
	"Georgia"	"13"	"2010"	"2010"	"Female"	"F"	"45-49 years"	"45-49"	25	369663	6.76
	"Georgia"	"13"	"2010"	"2010"	"Female"	"F"	"50-54 years"	"50-54"	21	345668	6.08
	"Georgia"	"13"	"2010"	"2010"	"Female"	"F"	"55-59 years"	"55-59"	18	303784	5.93
	"Georgia"	"13"	"2010"	"2010"	"Female"	"F"	"60-64 years "	"60-64"	22	264261	8.33
	"Georgia"	"13"	"2010"	"2010"	"Female"	"F"	"65-69 years"	"65-69"	25	191427	13.06
	"Georgia"	"13"	"2010"	"2010"	"Female"	"F"	"70-74 years"	"70-74"	22	138790	15.85
	"Georgia"	"13"	"2010"	"2010"	"Female"	"F"	"80-84 years"	"80-84"	20	80776	24.76
	"Georgia"	"13"	"2010"	"2010"	"Male"	"M"	"1-4 years"	"1-4"	20	281841	7.10
	"Georgia"	"13"	"2010"	"2010"	"Male"	"M"	"35-39 years"	"35-39"	19	338554	5.61
	"Georgia"	"13"	"2010"	"2010"	"Male"	"M"	"40-44 years"	"40-44"	21	345039	6.09
	"Georgia"	"13"	"2010"	"2010"	"Male"	"M"	"45-49 years"	"45-49"	19	353725	5.37
	"Georgia"	"13"	"2010"	"2010"	"Male"	"M"	"50-54 years"	"50-54"	19	326113	5.83
	"Georgia"	"13"	"2010"	"2010"	"Male"	"M"	"55-59 years"	"55-59"	32	274204	11.67
	"Georgia"	"13"	"2010"	"2010"	"Male"	"M"	"60-64 years "	"60-64"	37	236696	15.63
	"Georgia"	"13"	"2010"	"2010"	"Male"	"M"	"65-69 years"	"65-69"	35	167765	20.86
	"Georgia"	"13"	"2010"	"2010"	"Male"	"M"	"70-74 years"	"70-74"	25	114032	21.92
	"Georgia"	"13"	"2010"	"2010"	"Male"	"M"	"75-79 years"	"75-79"	20	77642	25.76
	"Georgia"	"13"	"2010"	"2010"	"Male"	"M"	"80-84 years"	"80-84"	16	49027	32.64
	"Georgia"	"13"	"2011"	"2011"	"Female"	"F"	"45-49 years"	"45-49"	22	366261	6.01
	"Georgia"	"13"	"2011"	"2011"	"Female"	"F"	"50-54 years"	"50-54"	19	351355	5.41
	"Georgia"	"13"	"2011"	"2011"	"Female"	"F"	"55-59 years"	"55-59"	23	310929	7.40
	"Georgia"	"13"	"2011"	"2011"	"Female"	"F"	"60-64 years "	"60-64"	27	277291	9.74
	"Georgia"	"13"	"2011"	"2011"	"Female"	"F"	"65-69 years"	"65-69"	22	198342	11.09
	"Georgia"	"13"	"2011"	"2011"	"Female"	"F"	"70-74 years"	"70-74"	25	143734	17.39
	"Georgia"	"13"	"2011"	"2011"	"Female"	"F"	"75-79 years"	"75-79"	18	108266	16.63
	"Georgia"	"13"	"2011"	"2011"	"Male"	"M"	"40-44 years"	"40-44"	18	350220	5.14
	"Georgia"	"13"	"2011"	"2011"	"Male"	"M"	"45-49 years"	"45-49"	24	352225	6.81
	"Georgia"	"13"	"2011"	"2011"	"Male"	"M"	"50-54 years"	"50-54"	31	333087	9.31
	"Georgia"	"13"	"2011"	"2011"	"Male"	"M"	"55-59 years"	"55-59"	32	283214	11.30
	"Georgia"	"13"	"2011"	"2011"	"Male"	"M"	"60-64 years "	"60-64"	35	247247	14.16
	"Georgia"	"13"	"2011"	"2011"	"Male"	"M"	"65-69 years"	"65-69"	36	173885	20.70
	"Georgia"	"13"	"2011"	"2011"	"Male"	"M"	"70-74 years"	"70-74"	22	119209	18.45
	"Georgia"	"13"	"2011"	"2011"	"Male"	"M"	"75-79 years"	"75-79"	29	80013	36.24
